fact_id,research_topic,source_id,fact_summary,fact_context,country_or_region,setting_or_context,topic_category,evidence_quality,source_url_or_identifier,notes,date_packaged
F001,Real health-system patient flows for identifying health issues,S01,"Triage is a rapid risk sort, not a diagnosis; subtle chronic or complex symptoms may appear low acuity if vitals are normal.","Stage: nurse triage; action: Classify acuity using ESI: immediate life-saving intervention, high risk/severe pain, then expected resources, with danger-zone vitals review.",US / internationally used,emergency department,red flag missed; normal-test trap; incomplete history,high,https://media.emscimprovement.center/documents/Emergency_Severity_Index_Handbook.pdf,ESI is a documented front-door workflow; its resource prediction step can under-prioritize problems that need diagnostic synthesis rather than many ED resources.,2026-05-30
F002,Real health-system patient flows for identifying health issues,S02,High-risk diagnoses may be missed at the first visit and only recognized after repeat ED return or deterioration.,Stage: first clinician assessment; imaging/lab interpretation; discharge; action: Systematic review estimated diagnostic error harms and common high-harm conditions.,US-focused evidence,emergency department,red flag missed; repeated visits ignored; no follow-up ownership,high,https://www.ncbi.nlm.nih.gov/books/NBK588197/,Useful as cross-setting failure evidence rather than a local workflow manual.,2026-05-30
F003,Real health-system patient flows for identifying health issues,S03,Patients may experience an 'occult wait' before triage if registration queues or digital check-in create hidden delays.,"Stage: arrival; registration; nurse triage; streaming; first clinician assessment; action: Initial assessment can include streaming, triage and rapid assessment/treatment to identify sickest patients and direct others to right service.",England,emergency department,poor handoff; red flag missed; no follow-up ownership,high,https://www.england.nhs.uk/guidance-for-emergency-departments-initial-assessment/,Represents a national ED front-door flow rather than a diagnostic guideline.,2026-05-30
F004,Real health-system patient flows for identifying health issues,S04,Operational queues can hide clinical risk before the patient is visible to the triage system.,"Stage: registration; initial assessment; vitals; action: Register quickly, perform initial assessment by trained registered clinician, record minimum clinical fields and use early warning scores where relevant.",UK,emergency department,arrival; registration; red flag missed; poor handoff,high,https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdf,Supports the black-zone concept of pre-triage waits.,2026-05-30
F005,Real health-system patient flows for identifying health issues,S05,Decision support needs upstream data completeness and downstream reassessment when diagnosis does not fit.,Stage: arrival; intake; labs ordered; imaging ordered; lab interpretation; discharge/admission; action: Patient arrives by EMS/walk-in; triage/intake RN collects key data; provider orders labs/CXR; CURB-65 and clinical assessment guide admission vs outpatient antibiotics.,US,emergency department,documentation error; no one connected the dots; normal-test trap,medium,https://www.ahrq.gov/sites/default/files/wysiwyg/professionals/quality-patient-safety/quality-resources/tools/cap-toolkit/ed-workflowdiagrams.pdf,Real implementation workflow shows how data from different roles enters a decision point.,2026-05-30
F006,Real health-system patient flows for identifying health issues,S06,"Self-service can speed flow but may miss nuance, language barriers or worsening while waiting.","Stage: arrival; intake form; triage; referral; action: Patient self-checks in on kiosk/tablet, completes symptom triage, and can be prioritised, redirected or referred through service routing.",England,urgent care / ED front door,digital access gap; incomplete history; red flag missed,medium,https://digital.nhs.uk/services/urgent-care-self-service-product,A current example of digital triage embedded in urgent/emergency care.,2026-05-30
F007,Real health-system patient flows for identifying health issues,S07,"UTC boundaries are porous; patients may need escalation, diagnostics or follow-up ownership outside the UTC.",Stage: arrival; first clinician assessment; labs ordered; imaging ordered; referral; follow-up; action: UTCs accept booked and walk-in patients; provide basic diagnostics or protocols; share records/post-event messages and refer to ED/specialists when needed.,England,urgent care,wrong specialty; poor handoff; no follow-up ownership,high,https://www.england.nhs.uk/publication/urgent-treatment-centres-principles-and-standards/,UTC standard describes setting-level capabilities and data-sharing requirements.,2026-05-30
F008,Real health-system patient flows for identifying health issues,S08,The workflow depends on patients knowing when and how to report deterioration while waiting.,"Stage: arrival; vitals; first clinician assessment; discharge/referral; action: On arrival, patients may have observations by nurse, may wait by acuity not arrival order, and can be assessed/treated onsite or referred; GP is updated afterwards.",England,urgent care,red flag missed; patient self-advocacy required,medium,https://www.nhs.uk/nhs-services/urgent-and-emergency-care-services/when-to-visit-an-urgent-treatment-centre-urgent-care-centre-or-minor-injury-unit/,Patient-facing description of the real UTC arrival process.,2026-05-30
F009,Real health-system patient flows for identifying health issues,S09,"Vitals create early signal but can be incomplete, delayed or not trended against prior visits.","Stage: vitals; nurse triage; first clinician assessment; action: Initial vitals tailored to age, complaint and status; abnormal vitals reported and repeated.",US,urgent care,normal-test trap; lab trend missed; documentation error,medium,https://urgentcareassociation.org/wp-content/uploads/VITAL-SIGNS-IN-UC-CENTERS-04-2025_Revised.pdf,"Practical urgent-care policy source, not a population study.",2026-05-30
F010,Real health-system patient flows for identifying health issues,S10,Non-clinical intake staff may be the first safety barrier.,Stage: registration; intake form; nurse triage; action: Registration/intake staff ask reason for visit; red flags trigger immediate rooming and clinician involvement or ED transfer.,US,urgent care,red flag missed; incomplete history; poor handoff,medium,https://urgentcareassociation.org/wp-content/uploads/RED-FLAGS-04-2025_Revised.pdf,Shows how triage starts before formal clinician assessment.,2026-05-30
F011,Real health-system patient flows for identifying health issues,S11,Digital triage may fragment complex histories into a single main symptom.,"Stage: before visit; intake form; referral; action: Patient completes one symptom pathway; service gives advice such as self-care, pharmacist, GP, UTC, ED or callback.",England,telehealth,incomplete history; wrong specialty; no one connected the dots,medium,https://111.nhs.uk/,Patient-facing NHS 111 online flow.,2026-05-30
F012,Real health-system patient flows for identifying health issues,S12,The handoff is only as good as the service directory and referral visibility.,Stage: before visit; intake form; referral; action: Uses structured triage and service directory to recommend ambulance/ED/UTC/out-of-hours GP/GP/pharmacist/self-care outcomes.,England,telehealth,wrong specialty; poor handoff; fragmented care,medium,https://digital.nhs.uk/services/nhs-111-online,Staff-facing service information documents integration pieces.,2026-05-30
F013,Real health-system patient flows for identifying health issues,S13,Online access can create a digital bottleneck and reduce the chance to observe/examine patients.,Stage: before visit; intake form; first clinician assessment; follow-up; action: Asynchronous online consultations support clinical/admin requests but may be capped or rerouted by practices for safety.,England,telehealth,digital access gap; incomplete history; no follow-up ownership; chronic illness invalidation,high,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,HSSIB source includes patient and staff focus groups and practice visits.,2026-05-30
F014,Real health-system patient flows for identifying health issues,S14,Telehealth changes the signal set available for diagnosis.,"Stage: medical history; physical exam; vitals; referral; follow-up; action: Telehealth can be safer when embedded in a medical home with records, tests, referrals and follow-up; risk rises when exam and communication are limited.",US / international,telehealth,normal-test trap; incomplete physical exam; poor follow-up ownership,high,https://psnet.ahrq.gov/primer/telehealth-and-patient-safety,Useful cross-setting telehealth safety evidence.,2026-05-30
F015,Real health-system patient flows for identifying health issues,S15,Routing can optimize capacity but also become a diagnostic gate if symptoms are under-described.,"Stage: before visit; intake form; care navigation; first clinician assessment; action: Modern access model directs patients via phone/online/in-person to the right professional first time, using care navigation and demand/capacity management.",England,primary care,incomplete history; wrong specialty; no one connected the dots,high,https://www.england.nhs.uk/long-read/modern-general-practice-model/,National primary-care access policy.,2026-05-30
F016,Real health-system patient flows for identifying health issues,S16,Ambiguity over whether a contact is administrative or clinical can lose risk signals.,Stage: care navigation; clinical triage; referral; action: Care navigation signposts to appropriate clinician or service; clinical triage by nurse/GP makes early clinical decisions.,UK,primary care,poor handoff; symptom dismissed; red flag missed,medium,https://www.bma.org.uk/advice-and-support/gp-practices/gp-service-provision/care-navigation-and-triage-in-general-practice,Professional guidance clarifies first-contact roles.,2026-05-30
F017,Real health-system patient flows for identifying health issues,S17,Threshold pathways may leave low-risk but persistent symptoms in a monitoring black zone.,"Stage: medical history; physical exam; labs ordered; referral; safety netting; action: Guideline organizes referral/investigation actions by cancer site, symptom and findings; includes safety netting and diagnostic-process advice.",England/Wales,primary care,normal-test trap; referral delay; rare disease delay,high,https://www.nice.org.uk/guidance/NG12/,A key formal workflow source for primary-care suspicion/referral.,2026-05-30
F018,Real health-system patient flows for identifying health issues,S18,A negative test can prematurely close a diagnostic episode.,"Stage: follow-up; repeat visit; diagnosis discussion; action: Safety-netting gives time-bound follow-up, documents advice, ensures tests/referrals completed and monitors persistent symptoms even after negative tests.",UK,primary care,normal-test trap; no follow-up ownership; repeated visits ignored,medium,https://www.cancerresearchuk.org/health-professional/diagnosis/primary-care/safety-netting,Clear source for the normal-test trap and repeat-presentation workflows.,2026-05-30
F019,Real health-system patient flows for identifying health issues,S19,Test-result management crosses many people and organisations.,"Stage: labs ordered; lab interpretation; follow-up; action: Practice needs systems for ordering, tracking attendance, return/non-return, review, filing, patient communication and abnormal follow-up.",England,primary care,abnormal result not followed up; documentation error; no follow-up ownership,high,https://www.cqc.org.uk/guidance-regulation/gps/gp-mythbusters,Regulator source supports result-management black zones.,2026-05-30
F020,Real health-system patient flows for identifying health issues,S20,No one clinician/system connected the repeated back-pain presentations with prior cancer risk.,Stage: repeat visit; medical history; specialist review; emergency escalation; action: Over 8 months the patient saw many clinicians; eventual GP found spinal lump and sent patient to ED where CT found metastatic cancer.,England,primary care,fragmented care; no one connected the dots; missing family/history context; repeated visits ignored,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/,Named public case from national safety investigation; includes patient voice.,2026-05-30
F021,Real health-system patient flows for identifying health issues,S21,Repeat visits are often visible only as isolated encounters.,"Stage: repeat visit; physical exam; referral; labs ordered; action: After three presentations, GP teams are prompted to reflect, review and rethink, consider face-to-face exam, second opinion, tests or referral.",England,primary care,repeated visits ignored; no one connected the dots; bias or minimization,medium,https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/,Current NHS initiative; useful product pattern for persistent symptoms.,2026-05-30
F022,Real health-system patient flows for identifying health issues,S22,Chronic pain and women's health symptoms can be minimized despite repeated presentations.,Stage: medical history; referral; specialist review; repeat visit; action: Survey documented repeated GP visits and A&E attendance before diagnosis; respondents reported dismissal/minimisation.,UK,primary care,symptom dismissed; chronic illness invalidation; bias or minimization; patient self-advocacy required,medium,https://www.endometriosis-uk.org/diagnosis-report,Advocacy survey gives patient voice and quantitative delay data.,2026-05-30
F023,Real health-system patient flows for identifying health issues,S23,"Referral is not a completed action unless the patient is seen, tests are done and results acted on.","Stage: referral; follow-up; lab interpretation; action: Healthwatch gathered patient reports of waiting after GP referral, confusion over results and pressure to chase.",England,primary care / specialist referral,referral delay; no follow-up ownership; patient self-advocacy required,medium,https://www.healthwatch.co.uk/report/2023-10-03/impact-waiting-care,Patient voice source on referral/follow-up gaps.,2026-05-30
F024,Real health-system patient flows for identifying health issues,S24,"Imaging workflows fail at multiple points: ordering, performance, interpretation, communication, follow-up.","Stage: imaging ordered; lab interpretation; follow-up; emergency return; action: Ombudsman reported repeated failures in scan reading, carrying out scans and follow-up; a cancer case was only identified at a fifth A&E visit after lesion not reported.",England,hospital outpatient / imaging / ED,abnormal result not followed up; red flag missed; repeated visits ignored,high,https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,Patient-complaint/ombudsman evidence with public family quote.,2026-05-30
F025,Real health-system patient flows for identifying health issues,S25,"Responsibility can diffuse between radiology, ED, GP and patient.",Stage: imaging ordered; imaging interpretation; discharge; follow-up; action: Investigation traced multistep communication of unexpected significant findings and weak assurance that action occurred.,England,radiology / ED / primary care,poor handoff; abnormal result not followed up; no follow-up ownership,high,https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/,Important source for test-result black zones beyond labs.,2026-05-30
F026,Real health-system patient flows for identifying health issues,S26,Discharge can sever ownership of pending results.,Stage: discharge; follow-up; imaging/lab interpretation; action: Hospital diagnostic excellence framework encourages targeting pending tests and suspicious imaging follow-up.,US,inpatient ward / hospital outpatient,poor handoff; no follow-up ownership; abnormal result not followed up,high,https://www.cdc.gov/patient-safety/hcp/hospital-dx-excellence/index.html,Current CDC framework for hospital diagnostic excellence.,2026-05-30
F027,Real health-system patient flows for identifying health issues,S27,Referral triage creates a new work queue where responsibility can be unclear to patient and referrer.,"Stage: referral; specialist review; follow-up; action: Referral Assessment Services allow provider review before booking; outcomes include booking, redirecting, requesting more info, or returning advice.",England,specialist clinic,wrong specialty; referral delay; poor handoff,high,https://digital.nhs.uk/services/e-referral-service/document-library/referral-assessment-services,Digital pathway details from NHS e-RS documentation.,2026-05-30
F028,Real health-system patient flows for identifying health issues,S28,Straight-to-test pathways are efficient only when referral information is complete.,"Stage: referral; imaging ordered; labs ordered; specialist review; action: Diagnostic e-RS models include direct-to-test, clinical assessment then test, and one-stop consultant-led models.",England,hospital outpatient / diagnostic services,incomplete history; wrong specialty; documentation error,medium,https://digital.nhs.uk/services/e-referral-service/document-library/diagnostic-services,Operational source on outpatient diagnostics.,2026-05-30
F029,Real health-system patient flows for identifying health issues,S29,Advice can reduce unnecessary appointments but must not become a soft rejection of unresolved symptoms.,"Stage: referral; specialist review; imaging/labs ordered; follow-up; action: Improvement guide promotes advice/guidance, straight-to-test, pre-appointment hubs; one GI case cut waits through advice and e-RS.",England,hospital outpatient / specialist clinic,referral delay; no follow-up ownership; normal-test trap,medium,https://www.england.nhs.uk/long-read/outpatient-recovery-and-transformation-improvement-guide/,Includes clinician voice and pathway redesign example.,2026-05-30
F030,Real health-system patient flows for identifying health issues,S30,Safety-net clinics may be responsible for follow-up despite care occurring elsewhere.,Stage: referral; discharge; follow-up; action: Health centers must have referral/hospital arrangements and processes to receive/record ED or hospital visit information and follow-up actions.,US,community health center,poor handoff; fragmented care; no follow-up ownership,high,https://bphc.hrsa.gov/compliance/compliance-manual/chapter7,Federal compliance source for FQHC workflow expectations.,2026-05-30
F031,Real health-system patient flows for identifying health issues,S31,"Coordination is a model, not a closed-loop diagnostic guarantee.",Stage: long-term monitoring; follow-up; referral; action: PCMH recognition emphasizes care coordination and continuous quality improvement in health centers.,US,community health center,fragmented care; no follow-up ownership,medium,https://bphc.hrsa.gov/technical-assistance/clinical-quality-improvement/patient-centered-medical-home,Useful institutional context for community health centers.,2026-05-30
F032,Real health-system patient flows for identifying health issues,S32,Abnormal screening is only useful if diagnostic colonoscopy happens.,"Stage: public health screening; lab interpretation; referral; follow-up; action: Mailed FIT outreach identified abnormal results; centralized patient navigation addressed informational, emotional, financial and transport barriers to colonoscopy.",US: North Carolina,community health center / public health screening,abnormal result not followed up; patient self-advocacy required; no follow-up ownership,medium,https://www.sciencedirect.com/science/article/pii/S221133552300102X,Implementation study in FQHC safety-net setting; strong fit to product workflows.,2026-05-30
F033,Real health-system patient flows for identifying health issues,S33,"Navigation fails if it is not staffed, documented, partnered and tracked.","Stage: public health screening; referral; follow-up; action: PRECISE trial implementation support trained navigators and documented challenges in workload, documentation, partnerships and tracking.",US: Washington state,community health center / screening,referral delay; fragmented care; documentation error,medium,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0343659,Recent implementation lessons for community health settings.,2026-05-30
F034,Real health-system patient flows for identifying health issues,S34,Screening can create false reassurance if symptoms are separated from screening result interpretation.,Stage: before visit; public health screening; lab interpretation; referral; follow-up; action: Eligible people receive FIT at home; results usually within 2 weeks; further tests lead to specialist nurse and usually colonoscopy; negative screen does not rule out cancer if symptoms occur.,England,public health screening,normal-test trap; no follow-up ownership,high,https://www.nhs.uk/tests-and-treatments/bowel-cancer-screening/,Patient-facing pathway; strong flow map source.,2026-05-30
F035,Real health-system patient flows for identifying health issues,S35,Population screening has a built-in non-attendance black zone.,"Stage: before visit; public health screening; imaging ordered; imaging interpretation; specialist review; action: Programme sends invitations, performs mammography, recalls non-attenders/technical failures, and sends abnormal cases to assessment clinic/MDT.",England,public health screening,no follow-up ownership; abnormal result not followed up; patient self-advocacy required,high,https://www.gov.uk/government/publications/breast-screening-programme-pathway-requirements/breast-screening-programme-pathway-requirements,National screening pathway source.,2026-05-30
F036,Real health-system patient flows for identifying health issues,S37,The problem is often not clinical detection but completion of the next step.,"Stage: before visit; referral; follow-up; action: CDC describes navigators helping people overcome practical, informational and trust barriers to screening and diagnosis.",US,public health screening / community,fragmented care; patient self-advocacy required; referral delay,high,https://www.cdc.gov/cancer/php/interventions/patient-navigation.html,Public health source for patient navigation design.,2026-05-30
F037,Real health-system patient flows for identifying health issues,S38,Community screening creates many positive signals that need tracking beyond the first contact.,"Stage: before visit; home/community visit; public health screening; referral; long-term monitoring; action: HWCs use empanelment, home/community interaction and universal screening to identify risks before clinic attendance; CHO leads HWC team and referrals.",India,community health center / rural clinic,referral delay; no follow-up ownership; lab trend missed,high,https://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdf,Government operational guidelines; rich low-resource workflow source.,2026-05-30
F038,Real health-system patient flows for identifying health issues,S39,Low-resource workflows depend heavily on algorithms and referral availability.,"Stage: medical history; physical exam; referral; emergency escalation; action: IMCI uses evidence-based algorithms based on history/signs/symptoms when lab/radiology support is limited; includes treatment, counselling and referral for severe illness.",LMIC / global,low-resource clinic,red flag missed; referral delay; incomplete history,high,https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/integrated-management-of-childhood-illness/,WHO source for low-resource diagnostic flow.,2026-05-30
F039,Real health-system patient flows for identifying health issues,S40,"The first diagnostic encounter may happen at home, not a clinic.",Stage: before visit; home/community visit; emergency escalation; action: iCCM trains/supplies CHWs to diagnose/classify/treat uncomplicated cases and refer severe illness.,LMIC / hard-to-reach communities,home/community visit,referral delay; poor handoff; low-resource supply gap,medium,https://www.childhealthtaskforce.org/hubs/iccm,Global child-health programme documentation.,2026-05-30
F040,Real health-system patient flows for identifying health issues,S41,Community programmes can generate care access but require supervision and integration with facilities.,"Stage: home/community visit; referral; follow-up; action: RAcE supported iCCM scale-up through CHW training, supplies and diagnosis/treatment/referral in five countries.","DRC, Malawi, Mozambique, Niger, Nigeria",home/community visit,poor handoff; no follow-up ownership; fragmented care,medium,https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme,Programme-scale low-resource evidence.,2026-05-30
F041,Real health-system patient flows for identifying health issues,S42,"In many rural OPDs, primary and emergency care share a front door with no formal triage.",Stage: arrival; nurse triage; vitals; first clinician assessment; action: Rural OPD implemented IITT-adapted structured triage using a three-colour checklist on charts and short training; patient flow improved without added resources.,Uganda,rural clinic,red flag missed; arrival; poor handoff,medium,https://link.springer.com/article/10.1186/s12245-025-01005-z,Real-world QI study in rural Uganda.,2026-05-30
F042,Real health-system patient flows for identifying health issues,S43,Community knowledge is powerful but can be under-documented or poorly integrated into clinical records.,"Stage: home/community visit; long-term monitoring; referral; action: CHWs provide home basic care, register families, relay information to teams, resolve low-level problems and refer complex problems.",Brazil,home/community visit,fragmented care; no one connected the dots; documentation error,medium,https://www.commonwealthfund.org/publications/case-study/2016/dec/brazils-family-health-strategy-using-community-health-care-workers,Health-system case study; strong real-world community flow.,2026-05-30
F043,Real health-system patient flows for identifying health issues,S44,"Screening must connect to protocolized treatment and follow-up, not just identify high BP.","Stage: vitals; labs ordered; lab interpretation; long-term monitoring; action: PAHO HEARTS clinical pathways standardize treatment protocols, proper BP measurement and cardiovascular risk assessment in PHC.",Latin America / Caribbean,community health center / primary care,lab/vital trend missed; no follow-up ownership,high,https://www.paho.org/en/hearts-americas/hypertension-clinical-pathways,"Regional implementation source, not a single clinic case.",2026-05-30
F044,Real health-system patient flows for identifying health issues,S45,Preventive flow identifies risk before symptoms but depends on participation and sustained behaviour support.,"Stage: before visit; public health screening; long-term monitoring; action: Specific health checkups screen insured people/dependents age 40+; results stratify into information provision, motivational support or proactive support.",Japan,public health screening,no follow-up ownership; normal-test trap,medium,https://www.shoken-kenpo.or.jp/eng/member/checkup/measure.html,Insurer programme source; East Asia preventive flow.,2026-05-30
F045,Real health-system patient flows for identifying health issues,S46,Screening result delivery by mail does not ensure comprehension or completion of confirmation testing.,"Stage: before visit; public health screening; lab interpretation; follow-up; action: Patient checks eligibility, visits authorized hospital with ID/checkup card, receives results by mail; suspected disease may receive confirmation checkup.",South Korea,public health screening,abnormal result not followed up; no follow-up ownership,medium,https://www.nhis.or.kr/english/wbhe/policies/NationalHealthScreeningProgram.html,Official national screening flow source.,2026-05-30
F046,Real health-system patient flows for identifying health issues,S47,"Countries need a route for serious nonspecific symptoms, not only organ-specific red flags.",Stage: medical history; labs ordered; referral; specialist review; action: Three-legged strategy: urgent alarm symptoms to organ-specific pathways; serious nonspecific symptoms to tests and diagnostic centres; vague low-risk symptoms managed by GP with diagnostic access.,Denmark,primary care / specialist clinic,rare disease delay; referral delay; no one connected the dots,medium,https://www.all-can.org/efficiency-hub/danish-cancer-patient-pathways-three-legged-strategy-for-faster-referral-and-diagnosis-of-cancer/,Health-system case study of a distinctive diagnostic pathway model.,2026-05-30
F047,Real health-system patient flows for identifying health issues,S48,Nonspecific symptoms can represent high-yield diagnostic risk when systematically routed.,Stage: referral; specialist review; labs/imaging ordered; action: Cohort study of urgent referral to Denmark's non-organ-specific cancer pathway; around one fifth had cancer.,Denmark,specialist clinic / diagnostic centre,rare disease delay; referral delay; normal-test trap,high,https://www.nature.com/articles/s41416-024-02620-y,Peer-reviewed evidence for nonspecific symptom diagnostic pathways.,2026-05-30
F048,Real health-system patient flows for identifying health issues,S49,Digitized history reduces fragmentation but still requires pattern recognition and alert design.,Stage: before visit; first clinician assessment; long-term monitoring; action: Israel's HMO-based system begins with family doctor/community health centers and uses longstanding digital records/HIE to give clinicians historical data at point of care.,Israel,primary care,lab trend missed; no one connected the dots,medium,https://www1.health.gov.il/en/landing-pages/healthcare-israel/healthcare-israel/,Health-system overview; not a single clinical workflow manual.,2026-05-30
F049,Real health-system patient flows for identifying health issues,S50,Result delivery is not the same as result action.,Stage: labs ordered; imaging ordered; lab interpretation; follow-up; action: Diagnostic services are computerized from referral through collection/test and result delivery to physician and user stations; teleradiology centralizes interpretation for distant sites.,Israel,hospital outpatient / diagnostic services,abnormal result not followed up; no follow-up ownership,medium,https://www.maccabi4u.co.il/en/46562/main_english/our-healthcare-system/diagnostic-services/,HMO service description; useful Israel/Middle East workflow example.,2026-05-30
F050,Real health-system patient flows for identifying health issues,S52,"Diagnostic failure is often an operations/communication problem, not just cognitive error.","Stage: labs ordered; imaging ordered; referral; follow-up; action: Analysis of >3,000 diagnostic safety events found many errors in the testing process plus monitoring/follow-up and referral/consultation phases.",US,cross-setting,documentation error; poor handoff; abnormal result not followed up,medium,https://home.ecri.org/blogs/ecri-news/data-analysis-reveals-common-errors-that-prevent-patients-from-getting-timely-accurate-diagnoses,Good source for cross-setting black-zone prioritization.,2026-05-30
F051,Real health-system patient flows for identifying health issues,S53,Rare disease patients often carry the pattern across disconnected visits themselves.,Stage: repeat visit; specialist review; imaging/genetic/special testing; action: Patient story describes self-advocacy leading to specialist programme review and eventual rare diagnosis after decades.,US,specialist clinic / rare disease,rare disease delay; patient self-advocacy required; no one connected the dots,low,https://rarediseases.org/undiagnosed-when-your-rare-diagnosis-comes-30-years-late/,"Patient story, useful for unusual-flow capture; low generalizability.",2026-05-30
F052,Real health-system patient flows for identifying health issues,S54,Chronic illness identification can fail even when data exists if communication/records are not visible.,"Stage: medical history; lab interpretation; diagnosis discussion; action: Advocacy patient stories describe how CKD diagnosis experiences can involve communication problems, dismissed symptoms and records not seen.",UK,primary care / chronic disease,chronic illness invalidation; lab trend missed; documentation error,low,https://kidneycareuk.org/kidney-disease-information/your-stories/ckd-diagnosis-experiences/,"Patient-story source; useful qualitative signal, not a systematic estimate.",2026-05-30
F053,Real health-system patient flows for identifying health issues,S56,The highest-yield diagnostic signals may appear only after a return visit or hospitalization.,Stage: first clinician assessment; medical history; physical exam; labs ordered; action: Study identified primary-care diagnostic errors using EHR triggers such as unplanned hospitalization/return visits/ED visits after index primary-care encounter.,US,primary care,incomplete history; physical exam missed; repeated visits ignored,high,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540,Peer-reviewed diagnostic-error study; old but foundational.,2026-05-30
