feature_id,feature_name,phase,primary_user,secondary_users,problem_solved,v1_mapping,research_refs,data_needed,evidence_strength,risk_level,complexity,expected_value,safety_guardrail,status
WB2-F001,Health Thread core,MVP,patient,caregiver; clinician via user-shared packet,"Symptoms, visits, tests and questions are scattered instead of one unresolved concern.",M22 Concern Tracker; M09 Graph; timeline,Research F PI001/F001; SHM Health Thread; KFC001,symptom episodes; dates; linked documents; results; referrals; user notes; thread status,strong,high,high,very high,Show why items are linked; allow unlink/correction; never infer diagnosis as final.,core build
WB2-F002,Story Memory intake,MVP,patient,caregiver,"Patient concern, fear, timeline, and daily impact are lost in short visits or single-symptom forms.",symptom-logging; onboarding; M22,Research F PI002/PI007; Research C key findings; SHM M001,own words; main concern; what changed; onset; severity; function; fear; own theory; caregiver view,strong,medium,medium,high,Separate patient words from clinical facts; adaptive form; low-literacy and translation modes.,core build
WB2-F003,Baseline change and function impact capture,MVP,patient,clinician via summary,Clinical records often miss 'what changed from normal for me'.,M10 Baseline & Anomaly; symptom-logging,Research F PI002; WellBe Context Is Everything; SHM Story Memory,baseline statements; functional limits; prior ability; trend dates; optional wearable metrics,strong,medium,medium,high,Avoid overinterpreting subjective change; label as patient-reported unless verified.,core build
WB2-F004,Evidence traceability layer 2.0,MVP,patient,clinician; caregiver,AI summaries lose trust when they cannot show sources.,M16 Evidence Ranking; M26 Context Integrity; smart-indexing,WellBe non-negotiable 2/3; SHM FEAT005; Research F safety principles,source links; event IDs; timestamps; author/source type; confidence; evidence quality,strong,medium,medium,very high,Every generated claim must be source-linked or marked unknown/unsupported.,core build
WB2-F005,Health Thread timeline and evidence graph,MVP,patient,clinician via packet,"People cannot easily show the sequence of symptoms, tests, visits and changes.",timeline; graph-explorer; health-graph-core,Research F PI001/PI009; Research A patterns; WellBe M09,events; thread links; source refs; stage; confidence; evidence quality,strong,medium,medium-high,high,Default to chronological fact display; separate inferred relationships from raw events.,core build
WB2-F006,Normal-test safety net,MVP,patient,clinician via packet,Normal results are treated as closure while symptoms persist.,M14 Missing Data; M16; Safety Engine,Research F PI006; Research B normal-test trap; Research C patterns; KFC003,test result; date; scope/body area; symptoms at time; current symptom status; follow-up plan,strong,high,medium,very high,"Use uncertainty language; explain limitations only generally; recommend clinician discussion, not diagnosis.",core build
WB2-F007,Personal pending result tracker,MVP,patient,caregiver,"Users do not know what test is pending, when to expect it, or whom to contact.",M22; document-upload; medical-institution-integration,Research F PI004/PI016; SHM F010/F011; KFC004,order date; test name; expected date; result status; source; user-designated contact; closure status,strong,high,medium-high,very high,"If owner/contact unknown, mark unknown; do not alarm without explanation path; urgent results use emergency-safe language.",core build
WB2-F008,Referral lifecycle tracker,MVP,patient,caregiver; clinician via packet,Referral placed is confused with referral completed.,doctor-discovery; medical-institution-integration; M22,Research F PI005; Research E high-confidence findings; KFC004,request; specialty; clinical question; attachments; status; appointment; attendance; response; next action,strong,high,medium-high,very high,"Use clear status taxonomy: requested, sent, accepted, returned, scheduled, completed, advice-only, next owner unknown.",core build
WB2-F009,Post-visit plan checker,MVP,patient,caregiver,"Uncertainty, pending tests, unresolved symptoms and return precautions disappear after the visit.",investigation-triage; M22,Research F PI008/PI016; patient-flow post-encounter black zone; TSX blackzone,visit summary; concerns; disposition; pending tests; follow-up instructions; safety net; user comprehension,strong/some,medium-high,medium,high,User checklist does not alter clinical record; correction requests go into user memory/share packet.,core build
WB2-F010,Patient correction loop,MVP,patient,caregiver; clinician if shared,"Wrong, missing, or unaddressed concerns persist and compound.",M26 Context Integrity; M22; doctor-summary,Research F PI007; SHM F005; OpenNotes/OurDX facts in SHM,correction text; target event/summary; reason; status; share flag; audit trail,strong,medium,medium,high,Corrections do not overwrite clinical facts; preserve as patient correction with provenance.,core build
WB2-F011,User-controlled clinician visit packet,MVP,patient,doctor; nurse; specialist,"Clinicians need concise relevant history earlier, but cannot read a giant notebook.",doctor-summary; timeline; M16; M26,Research F PI009; Research D clinician needs; KFC005,thread summary; patient words; timeline; results/referrals; unresolved items; source links; missing data,strong,high,medium-high,very high,User chooses share scope; one-page default; source links; uncertainty label; no direct diagnosis claim.,core build
WB2-F012,Repeat-visit and persistence view,Near-term,patient,clinician via packet,Return visits are treated as isolated rather than one unresolved issue.,M11/M12; timeline; M22,Research F PI003; SHM FEAT007; Research B repeated visits ignored,encounter dates; symptoms; dispositions; similarity score; worsening markers; current status,strong,high,medium,high,Frame as 'this has persisted' not 'doctor missed'; threshold meaningful repeat/worsening.,near-term
WB2-F013,Missing context checklist,Near-term,patient,clinician via packet,"Family history, medication access, prior tests, out-of-system care and patient theory are often absent.",M14 Missing Data; onboarding,Research F PI010/PI022; Research B patient self-advocacy; KFC002,family history; medications; access barriers; prior tests; photos; external care; patient concerns,some/strong,medium,medium,high,Sensitive fields optional and user-controlled; no blame language.,near-term
WB2-F014,Patient-held record import,Near-term,patient,caregiver; clinician if shared,"Out-of-system care, old records, photos, PDFs, SMS, and low-resource records do not travel.",document-upload; M28; M03,Research F PI018; Research E product implications; VISION.md,file/photo/SMS; source type; date; issuer; OCR/extraction; user confirmation; quality confidence,regional/strong,medium-high,medium-high,high,Provenance and verification labels; do not overwrite official data; user consent for sharing.,near-term
WB2-F015,Access and equity memory,Near-term,patient,caregiver; CHW/advocate if user shares,"Language, transport, cost, disability, trust and cultural safety barriers are omitted though they affect identification.",M08 Lifestyle/Context; settings; onboarding,Research F PI019/PI020/PI021/PI022; SHM M006; Research E key findings,language; interpreter needs; transport; cost; digital access; caregiver; disability accommodations; cultural safety preferences,strong/regional,high,medium,high,No ethnicity-based risk scoring; use to support access and communication only.,near-term
WB2-F016,Lab trend and personal baseline explorer,Near-term,patient,clinician via packet,Slow changes and personal baselines get missed when values are reviewed one at a time.,M10; metrics-dashboard; graph-node-context,Research F PI015; WellBe baseline/anomaly principle,labs; units/ranges; dates; baseline; symptoms; medication changes; source quality,some,high,high,medium-high,Trend visualization only unless clinically validated; no disease inference from trend alone.,near-term with caution
WB2-F017,Medication and access clue capture,Near-term,patient,clinician via packet,"Medication interruption, affordability and access can explain deterioration or diagnostic confusion.",M05 Medical; M08 Context; M13 Confounders,Research F PI022; Research B medication/access-as-diagnostic-clue,medication list; adherence barriers; cost/access; changes; side effects; timing,some,medium-high,medium,medium-high,Nonjudgmental wording; privacy control; never recommend stopping/starting meds.,near-term
WB2-F018,Note/document delta view,Near-term/Later,patient,clinician if shared,Copied-forward notes and unchanged summaries hide evolving symptoms or plan gaps.,M15 Contradiction Resolution; M26; document-upload,Research F PI023; Research D patterns,notes; versions; extracted facts; timestamps; changed/unchanged fields,some,medium-high,high,medium,Highlight only meaningful deltas; do not accuse clinicians; user confirmation.,later
WB2-F019,Deterioration check-in and escalation guidance,Near-term,patient,caregiver,Patient/family concern about worsening can be hard to communicate and escalate.,M21 Safety & Triage; M22; Telegram/mobile,Research F PI012/PI025; Research C high-confidence findings,thread status; symptom change; new red flags; user location/care options; prior plan,strong/regional,high,medium-high,high,Use setting-appropriate urgent-care instructions; not real-time monitoring unless explicitly provided.,near-term
WB2-F020,Personal Responsibility Memory ledger,MVP/Near-term,patient,caregiver,"Open loops have no personal memory: who to call, by when, and what remains unresolved.",M22; M26; dashboard,Research F PI004/PI005/PI016; SHM M005; KFC004,pending item; owner/contact; due date; backup; closure state; user reminders; source,strong,high,medium-high,very high,Distinguish official clinical owner from user-entered contact; mark unknown where unknown.,core build
WB2-F021,Safe research and explanation mode,Near-term,patient,caregiver,"Users research symptoms anyway, but need source-linked, non-diagnostic education tied to their thread.",M18/M19; Professor; myth-buster,WellBe C9; SHM regulation/safety facts; Research F do-not-diagnose,thread context; user question; external evidence; safety level; source quality,internal + safety supported,medium-high,high,medium-high,Outputs as questions/education; safety gate; no final diagnosis or medication advice.,near-term
WB2-F022,Personal experiment guardrails,Later,patient,clinician if shared,Users test lifestyle theories but may make unsafe changes without structure.,M20 Personal Experiments; Coach,WellBe overview; Research F safety principles,low-risk goal; baseline; tracking metric; exclusion conditions; stop criteria,needs more evidence,medium-high,medium,medium,Only low-risk behavior experiments; no medication/treatment changes without clinician.,later
WB2-F023,Trend-over-noise PGHD summarizer,Near-term,patient,clinician via packet,Wearable and self-tracking data can overwhelm rather than clarify.,M07; M10/M11; wearable-integration,SHM F012/R003/FEAT006; WellBe cross-everything correlation,wearables; symptom logs; baselines; time windows; confounders; user labels,some,medium,high,medium-high,"Show trends and baseline changes, not raw streams; note that data may not be monitored in real time.",near-term
WB2-F024,Scoped share link / export,MVP,patient,doctor; caregiver; advocate,The user needs to share the right context without handing over everything.,M02; doctor-summary; settings-and-privacy,VISION.md; Research F PI009; SHM Shared Health Memory,share grant; selected thread; expiration; recipient; audit; export format,strong product identity,high,medium,very high,"Revocable, time-limited, scoped; user preview before share; no institution-default access.",core build
WB2-F025,Care-team comment mode,Later,patient,clinician; nurse; admin,"Clinician feedback can improve memory accuracy, but clinician workflow integration creates risk.",medical-institution-integration; API gateway,SHM collaborative diagnosis; Research F clinician workflow support,invite; role; comments; source verification; conflict resolution; audit,some,high,high,high,Optional and user-initiated; not EHR replacement; local governance required.,later
WB2-F026,Low-resource / CHW / SMS mode,Regional,patient,CHW; caregiver,"Low-resource and rural systems need offline, paper/SMS, referral-backup-aware workflows.",M28; Telegram; mobile; patient-held record import,Research F PI020/PI021; Research E product implications; SHM F017,minimal thread summary; referral slips; CHW protocol; language; offline sync; stockout/referral availability,regional,high,high,regional high,Scope-bound; supervision and referral backup required; do not assign responsibility without capacity.,regional adaptation
WB2-F027,Bias/misattribution reflection prompt,Caution/Later,patient,clinician if shared,"Symptoms can be minimized due to age, gender, weight, mental-health label, race, language, or disability.",M21; M15; M22,Research F PI014; Research B mental-health misattribution; Research E cultural safety,thread narrative; prior labels; red flags; dismissed concerns; clinician-reviewed language,strong problem / cautious product,high,high,high if safe,Do not accuse; frame as 'make sure these factors are considered'; requires clinical and ethics review.,defer until safety review
WB2-F028,Workload-aware alert/worklist mode,Defer,clinician,admin,"Clinicians need prioritized action, not more alerts.",M21; M22; medical-institution-integration,Research F PI024; Research D alert overload; SHM R002,tasks; severity; owner; workload; false-positive metrics; override reasons,problem strong / feature caution,high,high,high in B2B with governance,Not consumer MVP; needs local clinical safety case and workload testing.,defer
WB2-F029,Cross-specialty pattern map,Later,patient,specialist via packet,Specialists see one slice and unresolved patterns across specialties are lost.,M09; graph-explorer; doctor-discovery,Research F PI017; Research B no-one-connected-dots,threads; specialties; referrals; clinical questions; source links; unresolved status,some,high,high,medium-high,"Use as summary/map, not automated referral or disease prediction.",later
WB2-F030,Decision and uncertainty memory,Later,patient,clinician if shared,"What was considered, ruled out, uncertain, and what should trigger reassessment is not remembered.",M17 Hypothesis Engine; M15 Contradiction; doctor-summary,SHM M004; National Academies fact in SHM F003; Research F uncertainty principles,assessment notes; user-entered plan; open questions; ruled-out status; reassessment criteria,strong concept / implementation caution,high,high,high,Clinician-authored or patient-labeled; no autonomous ruling-out of conditions.,later
WB2-F031,Doctor discovery as pathway support,Later,patient,caregiver,Users may need the right specialty/pathway after a referral gap or wrong specialty loop.,doctor-discovery,Research F PI005; Research E system-type adaptation,location; specialty; accepted conditions; insurance/access; language; wait times; thread summary,some,medium-high,high,medium-high,Rank sources transparently; do not imply a specialist is required or a diagnosis is likely.,later
WB2-F032,Cross-patient comparison sandbox,Avoid for MVP,patient,none by default,Users may ask how their recovery compares to similar cases.,C11 Expand; VISION cross-patient opt-in,VISION.md; SHM safety; Research F privacy/bias risks,explicit opt-in; cohort criteria; privacy-preserving aggregation; bias metrics,needs more evidence,very high,very high,uncertain,User-initiated only; no default institutional access; no diagnosis/risk prediction; rigorous privacy review.,avoid for MVP
