Patient stage,Black-zone / missed signal,Evidence refs,Product prevention,Safety guardrail
Before visit,"Access barriers, informal/private care, persistent symptoms or high-risk history never enter stable diagnostic pathway.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv::before visit; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::C004/C005/C006; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM12,Patient-held record import; access-barrier fields; CHW/informal referral capture; incomplete-workup registry.,Provenance labels; offline/SMS/paper mode; clinician verification.
Arrival / registration,"Repeat visit, family history, referral note or deterioration not visible before triage.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv::arrival / registration; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::C008; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM02,Front-door repeat-visit banner; referral-note visibility; arrival-to-assessment timer; family/caregiver concern field.,Avoid algorithmic downgrades; registration escalation button.
Intake form / digital triage,"Single-symptom routing loses complexity, prior cancer/high-risk history, or patient meaning.",research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E006/E007/Q005; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM05/FM06; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::C002,"Hybrid intake: multi-symptom, free text, prior-history auto-pull, “not captured” and human-review escape hatch.",Accessibility/language fallback; emergency warning; human override.
Nurse triage / vitals,"Abnormal vitals, repeat visits and red flags lose salience under cognitive strain.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::B-006/B-016; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E010/Q010; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM01/FM02,"Triage co-pilot, repeat-vital timers, deterioration check-in, acuity plus diagnostic-uncertainty view.",Support nurse judgment; calibrated timers; monitor over-alerting.
First clinician assessment,First plausible diagnosis or mental-health/age/gender label closes inquiry.,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::B-003/B-020/B-021/B-024; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E017/E018; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::Q009/Q010/Q014,"Diagnostic time-out: dangerous-to-miss alternatives, bias/misattribution guardrail, patient quote visible.",Do not accuse; require clinician-reviewed red-flag check only when signals are discordant.
Medical history,"Family history, medication access, patient’s own theory, functional impact and prior test context are not integrated.",research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::C005; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::B-013/B-023/B-031; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E003,Risk-context checklist and structured timeline with patient/caregiver input.,Sensitive-data controls and nonjudgmental wording.
Physical exam,Time-sensitive exams absent or delayed; telehealth gap hides required in-person exam.,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv::physical exam; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::S033; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::S14,Complaint-linked exam checklist; telehealth-to-in-person conversion criteria; timer for torsion/appendicitis-like pathways.,Clinician override; avoid rigid protocols.
Labs / imaging ordered,"Wrong test, no test, stockout, or wrong imaging scope.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::B-004/B-026/B-027; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E020; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM03,Order-set suggestions; imaging-scope warning; unavailable-test alternate plan; resource availability capture.,Do not force testing; adapt to local resources.
Lab / imaging interpretation,"Abnormal result exists but is not communicated, acknowledged or acted on.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::B-008/B-011/B-012/B-017/B-018; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::C010/C011; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E001/E015,"Result/finding lifecycle tracker, owner/deadline, critical semantics, patient notification status.",Risk-ranked worklist and backup owner; explanation path for patient release.
Diagnosis discussion / discharge,"Uncertainty, pending tests and unresolved symptoms disappear from patient plan.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::Pending-test discharge contract; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::C003/Q003; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E004,Concern-by-concern closure; “what remains unexplained”; pending-test contract; specific safety-net.,Avoid panic; plain language and clear contact routes.
Referral,"Referral delayed, wrong, rejected, advice-only or never completed.",research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM10/FM11; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E013/E014; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::C006,Referral status taxonomy and completion tracker with next owner.,Distinguish administrative status from diagnostic conclusion.
Follow-up / repeat visit,Return visits do not cause diagnostic reset.,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::B-006/B-010/B-028/B-030; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM09; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::C001,Repeat-visit diagnostic reset and symptom-still-present check-ins.,Thresholds by setting; do not punish returns.
Specialist review,"Specialist sees one slice, wrong chart, remote note, or wrong specialty.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv::specialist review; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E013/E014,"Cross-specialty summary pane, identity verification, clinical question and unresolved-pattern map.",Source-linked and local referral criteria.
Long-term monitoring,Slow trends and chronic invalidation hide deterioration.,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv::long-term monitoring; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::Q011; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::S53/S54,"Trend explorer, functional status, quality-of-life, unresolved-problem registry.",Clinical validation before alerts; avoid anxiety loops.
